phi_1 (deg),phi_2 (deg),phi_ob (deg),phi_sun (deg),solarAngle (deg)
0,-9,67.01571812044855,58.015718120448554,-9
5,-9,66.50700268378345,62.507002683783455,-4
10,-9,65.04315493821537,66.04315493821537,1
15,-9,62.778265661982765,68.77826566198277,6
20,-9,59.89324771136069,70.89324771136069,11
25,-9,56.54903045354161,72.5490304535416,16
30,-9,52.8705131833448,73.8705131833448,21
35,-9,48.94864212159839,74.9486421215984,26
40,-9,44.84810527944936,75.84810527944936,31
45,-9,40.61485076778831,76.61485076778831,36
50,-9,36.2818602008279,77.28186020082791,41
55,-9,31.87321238755792,77.87321238755791,46
60,-9,27.406855183063374,78.40685518306337,51
65,-9,22.896485675061722,78.89648567506173,56
70,-9,18.352836287213854,79.35283628721385,61
75,-9,13.784570168126738,79.78457016812673,66
80,-9,9.198920995961172,80.19892099596117,71
85,-9,4.602166983797005,80.602166983797,76
90,-9,6.459666845562274e-15,9.0,81
95,-9,4.602166983797005,8.602166983797005,86
100,-9,9.198920995961172,8.198920995961174,91
105,-9,13.784570168126738,7.784570168126734,96
110,-9,18.352836287213854,7.352836287213847,101
115,-9,22.896485675061722,6.896485675061726,106
120,-9,27.406855183063374,6.406855183063371,111
125,-9,31.87321238755792,5.873212387557913,116
130,-9,36.2818602008279,5.281860200827907,121
135,-9,40.61485076778831,4.614850767788312,126
140,-9,44.84810527944936,3.8481052794493564,131
145,-9,48.94864212159839,2.9486421215983967,136
150,-9,52.8705131833448,1.8705131833447979,141
155,-9,56.54903045354161,0.5490304535416044,146
160,-9,59.89324771136069,-1.1067522886393135,151
165,-9,62.778265661982765,-3.221734338017228,156
170,-9,65.04315493821537,-5.956845061784634,161
175,-9,66.50700268378345,-9.492997316216545,166
180,-9,67.01571812044855,-13.984281879551446,171
